question,answer
"6151, 11, 1268, 527, 499, 3815, 30","72, 2846, 7060, 13, 1268, 922, 6261, 30"
"72, 2846, 7060, 13, 1268, 922, 6261, 30","72, 2846, 5128, 1695, 13, 9523, 369, 10371, 13"
"72, 2846, 5128, 1695, 13, 9523, 369, 10371, 13","2201, 3575, 13, 779, 1268, 617, 499, 1027, 30"
"2201, 3575, 13, 779, 1268, 617, 499, 1027, 30","72, 3077, 1027, 2294, 13, 1148, 922, 499, 30"
"72, 3077, 1027, 2294, 13, 1148, 922, 499, 30","72, 3077, 1027, 1695, 13, 602, 2846, 304, 2978, 1314, 1457, 13"
"72, 3077, 1027, 1695, 13, 602, 2846, 304, 2978, 1314, 1457, 13","12840, 2978, 656, 499, 733, 311, 30"
"12840, 2978, 656, 499, 733, 311, 30","72, 733, 311, 281, 641, 13"
"72, 733, 311, 281, 641, 13","3055, 499, 1093, 433, 1070, 30"
"3055, 499, 1093, 433, 1070, 30","275, 596, 17339, 13, 433, 596, 264, 2216, 2466, 15679, 13"
"275, 596, 17339, 13, 433, 596, 264, 2216, 2466, 15679, 13","19045, 15369, 449, 2978, 13"
"19045, 15369, 449, 2978, 13","58517, 499, 1633, 1790, 13"
"5269, 596, 433, 2133, 30","72, 2846, 3815, 1664, 13, 1268, 922, 499, 30"
"72, 2846, 3815, 1664, 13, 1268, 922, 499, 30","37593, 2731, 11, 9523, 13"
"37593, 2731, 11, 9523, 13","708, 1268, 617, 499, 1027, 31445, 30"
"708, 1268, 617, 499, 1027, 31445, 30","72, 3077, 3604, 1027, 5128, 1695, 13, 499, 30"
"72, 3077, 3604, 1027, 5128, 1695, 13, 499, 30","72, 2846, 3604, 304, 2978, 1314, 1457, 13"
"72, 2846, 3604, 304, 2978, 1314, 1457, 13","8370, 2978, 656, 499, 9604, 30"
"8370, 2978, 656, 499, 9604, 30","72, 2846, 24096, 281, 641, 1314, 1457, 13"
"72, 2846, 24096, 281, 641, 1314, 1457, 13","548, 499, 22128, 433, 1070, 30"
"548, 499, 22128, 433, 1070, 30","275, 596, 539, 3958, 13, 1070, 527, 264, 2763, 315, 1274, 1070, 13"
"275, 596, 539, 3958, 13, 1070, 527, 264, 2763, 315, 1274, 1070, 13","19045, 15369, 449, 430, 13"
"19045, 15369, 449, 430, 13","46593, 13"
"5269, 527, 499, 3815, 3432, 30","72, 2846, 3815, 2294, 13, 1148, 922, 499, 30"
"72, 2846, 3815, 2294, 13, 1148, 922, 499, 30","72, 2846, 11112, 17104, 11, 9901, 499, 13"
"72, 2846, 11112, 17104, 11, 9901, 499, 13","73826, 596, 1027, 1695, 449, 499, 30"
